Y,DATETIME,TOTAL_DL
2016,2016/6/8,85838558.84
2016,2016/6/9,84205287.84
2016,2016/6/10,66353474.91
2016,2016/6/11,74535276.31
2016,2016/6/12,81556091.11
2016,2016/6/13,82766106.08
2016,2016/6/14,83931552.83
2016,2016/6/15,86443664.26
2016,2016/6/16,87226672.97
2016,2016/6/17,85038286.01
2016,2016/6/18,85992544.63
2016,2016/6/19,85589994.72
2016,2016/6/20,82577442.47
2016,2016/6/21,86166791.08
2016,2016/6/22,87355477.77
2016,2016/6/23,90000453.31
2016,2016/6/24,90475611.08
2016,2016/6/25,91230770.51
2016,2016/6/26,84017140.07
2016,2016/6/27,79039369.64
2016,2016/6/28,84572024.94
2016,2016/6/29,85819012.73
2016,2016/6/30,83841590.2
2016,2016/7/1,87271977.19
2016,2016/7/2,88482248.38
2016,2016/7/3,87884330.65
2016,2016/7/4,83687546.1
2016,2016/7/5,88454772.6
2016,2016/7/6,89207234.03
2016,2016/7/7,90971807.6
2016,2016/7/8,90440680.03
2016,2016/7/9,90425516.8
2016,2016/7/10,88324091.96
2016,2016/7/11,83196841.64
2016,2016/7/12,88548826.25
2016,2016/7/13,90555359.02
2016,2016/7/14,91920159.6
2016,2016/7/15,91840055.75
2016,2016/7/16,92151901.65
2016,2016/7/17,88242749.33
2016,2016/7/18,85439406.87
2016,2016/7/19,90202823.14
2016,2016/7/20,91479479.99
2016,2016/7/21,92302473.93
2016,2016/7/22,93360224.15
2016,2016/7/23,94083435.36
2016,2016/7/24,92347807.66
2016,2016/7/25,88003940.22
2016,2016/7/26,92794134.39
2016,2016/7/27,93604999.29
2016,2016/7/28,93368382.06
2016,2016/7/29,94367191.66
2016,2016/7/30,93603600.72
2016,2016/7/31,91255105.39
2016,2016/8/1,86167363.29
2016,2016/8/2,91351421.55
2016,2016/8/3,93188355.6
2016,2016/8/4,91770906.94
2016,2016/8/5,93561465.9
2016,2016/8/6,94975142.03
2016,2016/8/7,93502750.73
2016,2016/8/8,89813758.06
2016,2016/8/9,93638573.88
2016,2016/8/10,93816555.99
2016,2016/8/11,94642616.37
2016,2016/8/12,95532776.69
2016,2016/8/13,96774696.1
2016,2016/8/14,95298712.97
2016,2016/8/15,91457649.93
2016,2016/8/16,95957154.53
2016,2016/8/17,96363373.98
2016,2016/8/18,96190455.49
2016,2016/8/19,95200180.02
2016,2016/8/20,94569603.7
2016,2016/8/21,91534633.57
2016,2016/8/22,85953682.56
2016,2016/8/23,86872048.42
2016,2016/8/24,78552449.42
2016,2016/8/25,57355443.36
2016,2016/8/26,52387988.58
2016,2016/8/27,49183786.58
2016,2016/8/28,43224225.12
2016,2016/8/29,37847249.99
2016,2016/8/30,37968149.39
2016,2016/8/31,36532633.14
2016,2016/9/1,33326342.11
2016,2016/9/2,30884768.09
2016,2016/9/3,30858002.15
2016,2016/9/4,29365686.06
2016,2016/9/5,26617298.77
2016,2016/9/6,29701567.76
2016,2016/9/7,32792293.33
2016,2016/9/8,48794220.01
2016,2016/9/9,63429382.84
2016,2016/9/10,73514949.02
2016,2016/9/11,78997945.86
2016,2016/9/12,79116934.98
2016,2016/9/13,83032763.68
2016,2016/9/14,85270977.15
2016,2016/9/15,85248063.08
2016,2016/9/16,75628509.32
2016,2016/9/17,81099792.44
2016,2016/9/18,83844533.28
2016,2016/9/19,83865387.04
2016,2016/9/20,85118232.46
2016,2016/9/21,86058867.46
2016,2016/9/22,86506161.92
2016,2016/9/23,87960488.04
2016,2016/9/24,89180069.19
2016,2016/9/25,89129732.45
2016,2016/9/26,87317526.76
2016,2016/9/27,89657387.86
2016,2016/9/28,91199879.57
2016,2016/9/29,91576586.76
2016,2016/9/30,89196752.05
2016,2016/10/1,86947973.18
2016,2016/10/2,77229039.58
2016,2016/10/3,78634974.05
2016,2016/10/4,84378750.6
2016,2016/10/5,88632153.33
2016,2016/10/6,91560704.35
2016,2016/10/7,93272075.97
2016,2016/10/8,93579204.03
2016,2016/10/9,85656514.64
2016,2016/10/10,83360305.16
2016,2016/10/11,85252113.06
2016,2016/10/12,86436351.73
2016,2016/10/13,86795623.61
2016,2016/10/14,87373468.43
2016,2016/10/15,88143226.92
2016,2016/10/16,87271394.62
2016,2016/10/17,83978417.73
2016,2016/10/18,86936366.09
2016,2016/10/19,87405320.13
2016,2016/10/20,87671085.46
2016,2016/10/21,87648728.96
2016,2016/10/22,88226138.3
2016,2016/10/23,87354242.79
2016,2016/10/24,83966088.16
2016,2016/10/25,86354615.65
2016,2016/10/26,85773537.3
2016,2016/10/27,86583526.32
2016,2016/10/28,85852508.51
2016,2016/10/29,86795359.84
2016,2016/10/30,85885648.32
2016,2016/10/31,82719966.88
2016,2016/11/1,85072251.11
2016,2016/11/2,85848753.01
2016,2016/11/3,86987954.84
2016,2016/11/4,87437800.48
2016,2016/11/5,87102590.05
2016,2016/11/6,85813894.84
2016,2016/11/7,82651351.4
2016,2016/11/8,86232558.35
2016,2016/11/9,87531325.76
2016,2016/11/10,88294949.91
2016,2016/11/11,88224809.55
2016,2016/11/12,87702212.73
2016,2016/11/13,86785318.3
2016,2016/11/14,84136170.85
2016,2016/11/15,86717959.59
2016,2016/11/16,92251737.07
2016,2016/11/17,88011031.54
2016,2016/11/18,86942276.86
2016,2016/11/19,87155072.39
2016,2016/11/20,86286712.99
2016,2016/11/21,83461898.81
2016,2016/11/22,86155524.66
2016,2016/11/23,87723807.8
2016,2016/11/24,89471055.89
2016,2016/11/25,90194050.46
2016,2016/11/26,91094562.03
2016,2016/11/27,87011782.72
2016,2016/11/28,83147605
2016,2016/11/29,86409233.9
2016,2016/11/30,87131106.34
2016,2016/12/1,86203838.24
2016,2016/12/2,86061471.7
2016,2016/12/3,87334809.09
2016,2016/12/4,86333973.73
2016,2016/12/5,83030505.49
2016,2016/12/6,85643528.16
2016,2016/12/7,85686529.61
2016,2016/12/8,86077240.1
